b_val,int_S,int_g
0.01,0.002502230671007366,0.19949921291068126
0.1,0.02525582059492278,0.1985993465546531
0.3,0.07732765862567997,0.19659966331948497
0.5,0.13148807284686934,0.19460000819561926
0.65,0.17348542539169215,0.19310028600130769
0.8,0.21666846357930325,0.1916005808331569
1.0,0.276099199264109,0.18960100147478676
