Avg_Infect_over_1_period,g_val,Initial_Conditions,Max_total_pop,Min_total_pop,period
4.35e-321,0.1,"[100, 1]",10.000000020611536,2.6215001883977e-08,1
0.2907028092129229,1.0,"[10.000000026215002, 3e-322]",10.194924949361129,0.1990338713106807,1
0.6166733336765702,2.0,"[10.183680971738655, 0.015352899572025408]",10.278300241038043,0.281695132572382,1
0.8184671044570757,3.0,"[10.237182415650263, 0.044512716922119167]",10.331494594907623,0.3346005434135705,1
0.9603098279181956,4.0,"[10.26387073563749, 0.07072980777608177]",10.366422295128793,0.36937309116507155,1
1.0673883314113695,5.0,"[10.276361320814217, 0.0930117703508538]",10.390344608598811,0.3932040812746118,1
1.1520057562324577,6.0,"[10.281472615948292, 0.11173146532631872]",10.407374362979542,0.4101778063272292,1
1.2210431088532654,7.0,"[10.282671982855927, 0.12750582347130157]",10.41990310063888,0.42267156400009265,1
1.2787168873572887,8.0,"[10.281768758297419, 0.1409028057026734]",10.429379831108816,0.43212648707641843,1
1.3277864507279653,9.0,"[10.279741079033725, 0.15238540804269415]",10.436718514711083,0.4394518908941739,1
1.3701494378066947,10.0,"[10.277134210704537, 0.16231768018963802]",10.4425168014944,0.44524255717517397,1
1.407162489788487,11.0,"[10.27425905240711, 0.17098350476806312]",10.447178064204016,0.44990002360424697,1
1.4398261904622207,12.0,"[10.271295195110467, 0.17860482849378087]",10.450982184970645,0.453702964619213,1
1.468897656294025,13.0,"[10.268346542591102, 0.18535642202811173]",10.454128125754927,0.4568495288228745,1
1.4949621822328392,14.0,"[10.265472379420354, 0.19137714940252126]",10.456760377131719,0.4594836485061042,1
1.518480542099438,15.0,"[10.26270524591593, 0.19677840259017448]",10.458985876355076,0.4617118716795974,1
1.5398212023545792,16.0,"[10.26006148348917, 0.20165038819042688]",10.460885114401437,0.4636144144481903,1
1.559282852997231,17.0,"[10.257547586743373, 0.2060668277048179]",10.462519599953549,0.4652525894023154,1
1.5771105335166213,18.0,"[10.255164094534136, 0.21008849486817915]",10.463936981461181,0.4666739040096582,1
1.5935074096326383,19.0,"[10.252908004336083, 0.21376589967357573]",10.465174629216305,0.4679156266544411,1
1.6086435280589997,20.0,"[10.250774283583006, 0.21714134307143476]",10.466262183779644,0.4690073240187569,1
1.6226624283624196,21.0,"[10.248756819857919, 0.22025050416083808]",10.467223397549736,0.46997269493147015,1
1.635686207500492,22.0,"[10.246849017724092, 0.22312367720737897]",10.468077484650584,0.47083091478879247,1
1.6478194487993623,23.0,"[10.24504417069249, 0.22578674409630212]",10.46884012343914,0.4715976341444983,1
1.6591523052667916,24.0,"[10.243335688990586, 0.22826194515391227]",10.469524210043229,0.47228572941172875,1
1.669762944716943,25.0,"[10.241717234431684, 0.23056849498004492]",10.470140431090373,0.4729058735190592,1
1.679719507426129,26.0,"[10.240182795367673, 0.232723078151386]",10.470697703515153,0.4734669741904004,1
1.6890816873067005,27.0,"[10.238726723121996, 0.2347402510684039]",10.471203515537354,0.4739765137892056,1
1.6979020193520775,28.0,"[10.237343743879398, 0.2366327699098068]",10.471664193381859,0.47444081519113096,1
1.7062269357640365,29.0,"[10.236028955204777, 0.2384118599863542]",10.472085111652412,0.47486525152104775,1
1.7140976383314337,30.0,"[10.23477781322394, 0.2400874382971071]",10.472470860557065,0.4752544128979056,1
1.7215508236729355,31.0,"[10.233586114431342, 0.2416682984665632]",10.472825379807226,0.47561223996940727,1
1.7286192897799162,32.0,"[10.23244997471917, 0.24316226525023632]",10.473152066568234,0.47594213158553467,1
1.7353324461321908,33.0,"[10.231365807309782, 0.2445763242757527]",10.473453863052557,0.4762470321806572,1
1.7417167449699147,34.0,"[10.230330300664122, 0.24591673151653637]",10.473733328027622,0.47652950312033093,1
1.7477960477049346,35.0,"[10.229340397031569, 0.24718910608876224]",10.473992695528187,0.4767917812906953,1
1.753591937669327,36.0,"[10.228393272035227, 0.24839850925546886]",10.474233923325034,0.4770358274735266,1
1.7591239882265146,37.0,"[10.227486315506372, 0.249549511967155]",10.47445873314367,0.47726336649365464,1
1.7644099935635065,38.0,"[10.226617113663321, 0.250646252830333]",10.474668644200452,0.47747592070112704,1
1.7694661681335762,39.0,"[10.225783432653325, 0.2516924880478019]",10.474865001296411,0.4776748380244469,1
1.7743073196443064,40.0,"[10.224983203427557, 0.25269163459688987]",10.475048998456003,0.4778613155790673,1
1.7789469996257066,41.0,"[10.22421450788997, 0.2536468076890981]",10.475221698900985,0.4780364196189816,1
1.783397634920412,42.0,"[10.223475566244215, 0.2545608533747668]",10.475384051995302,0.4782011024655792,1
1.7876706428768045,43.0,"[10.222764725454802, 0.2554363770107774]",10.475536907675416,0.47835621692673186,1
1.791776532569519,44.0,"[10.222080448736195, 0.2562757681905376]",10.47568102878421,0.47850252862314946,1
1.7957249939978754,45.0,"[10.22142130598468, 0.257081222638469]",10.475817101649934,0.4786407265626487,1
1.7995249769061106,46.0,"[10.220785965071276, 0.257854761491374]",10.475945745190318,0.47877143224184293,1
1.8031847606159896,47.0,"[10.220173183918494, 0.25859824832335]",10.476067518772616,0.47889520750536624,1
1.8067120160517853,48.0,"[10.219581803289087, 0.2593134042162788]",10.476182929020524,0.47901256135326886,1
1.8101138609634115,49.0,"[10.219010740220584, 0.2600018211326846]",10.476292435726467,0.4791239558547854,1
1.8133969092070834,50.0,"[10.218458982044835, 0.26066497380995013]",10.476396457001453,0.47922981130032494,1
