Avg_Infect_over_1_period,delta_val,Initial_Conditions,Max_total_pop,Min_total_pop,period
99.78394855442718,0.0,"[100, 1]",105.08331934765343,95.10285539162062,1
25.53355374178406,0.23076923076923078,"[10.0, 95.10285539162062]",31.105768510715265,21.122520307466196,1
15.656994227338624,0.46153846153846156,"[10.0, 21.122520307466196]",21.525577993169616,11.540389615384944,1
11.361780509120514,0.6923076923076923,"[10.000000000531667, 11.540389614853277]",17.499272431923014,7.512484338885413,1
8.92613260174302,0.9230769230769231,"[10.000000331866774, 7.51248400701864]",15.309050151168767,5.320904795990919,1
7.35006640698122,1.153846153846154,"[10.000012765483339, 5.320892030507581]",13.958309292077788,3.96900227488237,1
6.2445309514778,1.3846153846153846,"[10.000135431334474, 3.9688668435478958]",13.0608296496977,3.070526444546977,1
5.425314577954737,1.6153846153846154,"[10.000709944888056, 3.0698164996589203]",12.43493427239788,2.4437776530351547,1
4.793558135771061,1.8461538461538463,"[10.00242362196767, 2.441354031067484]",11.98410100198774,1.9922148693207524,1
4.291337429388384,2.076923076923077,"[10.006249066098658, 1.9859658032220946]",11.652551511461436,1.6600432179156972,1
3.882419653243635,2.307692307692308,"[10.01327442573956, 1.6467687921761376]",11.405982695910833,1.4129448175485637,1
3.5429604494330134,2.5384615384615388,"[10.024529488466218, 1.3884153290823462]",11.222241194626562,1.2287531473843931,1
3.2566175569133873,2.769230769230769,"[10.040868191261032, 1.187884956123362]",11.086429846871017,1.0925594584816505,1
3.0118111803403473,3.0,"[10.062916764017768, 1.0296426944638821]",10.988176754506787,0.9939817821653784,1
2.263087046298356,4.0,"[10.091071331548756, 0.902910450616622]",10.849103403171144,0.8539830694161705,1
1.8032181305186847,5.0,"[10.285319098648193, 0.5686639707679781]",10.986257267104824,0.9906917710322937,1
1.4921224437667688,6.0,"[10.5855312941316, 0.4051604769006929]",11.275958589518277,1.2802000766762716,1
1.2677231965040376,7.0,"[10.96803481618041, 0.3121652604958624]",11.66031064866848,1.6645003395695743,1
1.0982708833060544,8.0,"[11.411270977676498, 0.2532293618930764]",12.107712923966085,2.111934762679708,1
0.9658342996146849,9.0,"[11.899116843914644, 0.21281791876506412]",12.599246551443635,2.60355292337372,1
0.859519166521342,10.0,"[12.420112364292681, 0.18344055908103826]",13.122853085958791,3.1272779343581987,1
,11.0,"[12.966161151083405, 0.16111678327479428]",,,>6
0.7002454112366289,12.0,"[13.526636597042522, 0.1415326488490093]",16.861500937566625,2.78764899733211,2
0.6387506602821957,13.0,"[12.764291358347974, 0.023357638984136904]",18.19418326746027,3.0459009988207395,2
0.5859299590418982,14.0,"[13.029437826573819, 0.01646317224692098]",19.125179708420312,3.444829745880215,2
0.5401080483500582,15.0,"[13.430987777600748, 0.01384196827946638]",19.881646678467995,3.910333418046589,2
0.5000020756055626,16.0,"[13.897823192905292, 0.012510225141297225]",20.548795643946562,4.418341046355922,2
0.4646212354553964,17.0,"[14.40658034444128, 0.011760701914640157]",21.16699167005618,4.957198712274568,2
0.43318978371084654,18.0,"[14.945870578179065, 0.011328134095502845]",21.757435396919263,5.520030945129401,2
0.4050922094213723,19.0,"[15.508942709992933, 0.011088235136467683]",22.33197105606735,6.102276841885889,2
0.37983410327308675,20.0,"[16.091302556900043, 0.010974284985845666]",22.897494466992345,6.700676163686424,2
0.3570138681844913,21.0,"[16.689729180092186, 0.010946983594237259]",23.458133472486885,7.3127795699145075,2
0.3363019685443812,22.0,"[17.301798005343688, 0.01098156457081871]",24.016400495010828,7.936682798833896,2
0.3174254912207942,23.0,"[17.925621199573953, 0.011061599259943166]",24.573833156512926,8.570868999389425,2
0.30015650412843486,24.0,"[18.559693255032897, 0.011175744356527451]",25.131364855533622,9.214108529583616,2
0.28430316880522616,25.0,"[19.202792615691934, 0.011315913891684374]",25.689546215342066,9.865391744231971,2
0.26970287736783405,26.0,"[19.85391555040058, 0.011476193831391826]",26.248680988861913,10.523881969061152,2
0.2562168964191328,27.0,"[20.512229801167265, 0.01165216789388894]",26.808911285914352,11.18888150446477,2
0.2437261459784021,28.0,"[21.17704102173742, 0.011840482727351631]",27.370271926270465,11.859806428815112,2
0.23212784267273434,29.0,"[21.847767870401537, 0.012038558413576109]",27.932725510126556,12.53616758160174,2
0.22133280772180514,30.0,"[22.52392319113435, 0.012244390467388974]",28.496185166790873,13.217556041074538,2
0.21126329112944325,31.0,"[23.205099629768757, 0.012456411305780346]",29.06052925127385,13.903631980314943,2
0.20185120024532474,32.0,"[23.890958588821505, 0.012673391493437575]",29.6256106506554,14.594116149174566,2
